VectorData v1.0
METADATA{
        filedescrible=TITAN风暴识别,date=2016-07-07,time=07:36:00,record=508,coord=GEO,dimension=3,invaild=9999
}
TAB{
        keyName=时效,质心x,质心y,质心z,最大反射率因子,投影面积,体积
        keyType=int,float,float,float,float,float,float

}
DATA BEGIN
VALUE 0 118.114 29.1152 1.5 36.5 60.781 121.562
POLYGON 73
120.855 29.935 9999
120.848 29.935 9999
120.842 29.935 9999
120.836 29.935 9999
120.82 29.965 9999
120.818 29.965 9999
120.816 29.965 9999
120.813 29.975 9999
120.812 29.975 9999
120.811 29.975 9999
120.81 29.975 9999
120.809 29.975 9999
120.808 29.975 9999
120.807 29.975 9999
120.805 29.975 9999
120.805 29.9764 9999
120.805 29.9781 9999
120.805 29.9794 9999
120.805 29.9806 9999
120.805 29.9815 9999
120.805 29.9824 9999
120.805 29.9832 9999
120.805 29.9839 9999
120.805 29.9846 9999
120.805 29.9853 9999
120.805 29.9859 9999
120.805 29.9865 9999
120.805 29.9871 9999
120.805 29.9878 9999
120.735 30.0072 9999
120.735 30.0146 9999
120.745 30.0178 9999
120.745 30.025 9999
120.757 30.025 9999
120.765 30.026 9999
120.765 30.0336 9999
120.771 30.035 9999
120.778 30.035 9999
120.784 30.035 9999
120.794 30.025 9999
120.802 30.015 9999
120.804 30.015 9999
120.807 30.015 9999
120.81 30.015 9999
120.812 30.015 9999

VALUE 0 117.905 29.9719 1.5 43 17.3682 34.7364
POLYGON 73
117.905 29.995 9999
117.907 29.995 9999
117.909 29.995 9999
117.911 29.995 9999
117.917 30.005 9999
117.92 30.005 9999
117.924 30.005 9999
117.925 30.0004 9999
117.925 29.9957 9999
117.925 29.9919 9999
117.925 29.9887 9999
117.925 29.9859 9999
117.925 29.9834 9999
117.925 29.9812 9999
117.925 29.9792 9999
117.925 29.9772 9999
117.925 29.9754 9999
117.915 29.9728 9999
117.915 29.9719 9999
117.915 29.971 9999
117.915 29.9701 9999
117.915 29.9692 9999
117.915 29.9682 9999
117.915 29.9672 9999
117.915 29.9661 9999
117.915 29.9649 9999
117.915 29.9635 9999
117.915 29.9619 9999
117.915 29.96 9999
117.915 29.9576 9999
117.915 29.9545 9999
117.915 29.9504 9999
117.915 29.945 9999
117.912 29.945 9999
117.91 29.945 9999
117.907 29.945 9999
117.905 29.945 9999
117.903 29.945 9999
117.9 29.945 9999
117.898 29.945 9999
117.895 29.945 9999
117.892 29.945 9999
117.889 29.945 9999
117.886 29.945 9999
117.885 29.948 9999
117.885 29.9519 9999
117.885 29.9551 9999
117.885 29.9579 9999
117.885 29.9603 9999
117.885 29.9626 9999
117.885 29.9646 9999
117.885 29.9665 9999
117.885 29.9683 9999
117.885 29.9701 9999
